Kanji,YuetPing
輮,bou/jau
逋,bou
部,bou
郶,bou
鈽,bou
闁,bou
靌,bou
餔,bou
駂,bou
鯆,bou/pou
鳵,bou
鴇,bou
鵏,bou
𠸒,bou
𡝬,bou
𡤧,bou
𣭚,bou
𤣰,bou
𤦸,bou
𦹂,bou
𧅤,bou
𨩚,bou
𨰦,bou
𨰰,bou
𨰻,bou
㔨,bui
㛝,bui
㤳,bui
㧩,bui
㮎,bui
㸬,bui
㸽,bui
㹀,bui
䊃,bui
䋳,bui
䟺,bui
倍,bui/pui
偝,bui
僻,bui/pik
姵,bui/pui
怫,bui/fai/fat
悖,bui/but
愂,bui
揹,bui
旆,bui/pui
昁,bui
杯,bui
桮,bui
梖,bui
棓,bui/paan/paang/pau/pui
浿,bui
焙,bui
牬,bui
狽,bui
珼,bui
盃,bui
禙,bui
背,bui
苝,bui
茷,bui/fat/pui
蛽,bui
褙,bui
誖,bui
貝,bui
軰,bui
邶,bui
鄁,bui
鋇,bui
𠁞,bui
𧵔,bui
𨩈,bui
㒒,buk
㓀,buk
㬥,buk
㯷,buk
㲫,buk
䃼,buk
䑑,buk
䗱,buk
䧤,buk
䪁,buk
䴆,buk
仆,buk/fu/puk
伏,buk/fuk
僕,buk
卟,buk/gei
墣,buk/pok
幞,buk/fuk
樸,buk/pok
濮,buk
獛,buk
穙,buk
纀,buk/fuk
虲,buk
襆,buk/fuk
襥,buk
蹼,buk/pok
轐,buk/pok
醭,buk/pok
鏷,buk/pok
鳪,buk
𡂈,buk
𣾴,buk
𥣈,buk
𨆯,buk
𪋿,buk
㚘,bun
㡷,bun
㪵,bun
㫠,bun
㮺,bun
㶱,bun
䈲,bun
䉽,bun
伴,bun/pun
半,bun
叛,bun
坢,bun/pun
奙,bun
姅,bun/pun
怑,bun
拌,bun/pun
搬,bun
本,bun
柈,bun
楍,bun
泮,bun/pun
畔,bun
畚,bun
秚,bun
粄,bun
絆,bun
肨,bun
胖,bun/pun
苯,bun
褩,bun
鉡,bun
靽,bun
㷯,bung
䋽,bung
䩬,bung
䭰,bung
䳞,bung
埄,bung
塜,bung
塳,bung/pung
捧,bung/fung/pung
槰,bung
玤,bung/pong
琣,bung
琫,bung
菶,bung
鞛,bung
𩗴,bung
㔜,but
㞈,but
㟑,but
㪍,but
㴾,but
㶿,but
䍨,but
䢌,but
䭯,but
䮀,but
䮂,but
侼,but
勃,but
哱,but/po
挬,but
撥,but/put
桲,but
浡,but
渤,but
潑,but/put
犻,but
癶,but
發,but/faat/fat
盋,but
砵,but
缽,but
脖,but
艴,but/fat
荸,but
葧,but
襏,but
蹳,but
郣,but
鉢,but
鋍,but
餑,but
馞,but
驋,but
鱍,but
鵓,but
𠼭,but
𩓐,but
㕚,caa/zaau
㜁,caa
㢉,caa
㢒,caa
㣾,caa
㤞,caa
㾴,caa
䁟,caa
䅊,caa
䊬,caa
䑡,caa
䖳,caa/zaa
䟕,caa
䠧,caa
侘,caa
叉,caa
喳,caa/zaa
嗏,caa
垞,caa
塗,caa/tou
奼,caa/zaa
姹,caa
岔,caa
嵖,caa
差,caa/caai/ci/co
扠,caa/zaa
捈,caa/syu/tou
搽,caa
杈,caa
查,caa/zaa
査,caa/zaa
楂,caa/zaa
槎,caa
樝,caa/zaa
欻,caa/caat/cuk/fat
汊,caa
碴,caa/zaa
秅,caa/dou
紁,caa
肞,caa
艖,caa
苴,caa/ceoi/zaa/zeoi
茬,caa/ci
茶,caa
荼,caa/ce/syu/tou
蜡,caa/cai/laap/zaa
衩,caa
詫,caa
蹅,caa
銟,caa
鎈,caa
鑔,caa
靫,caa/caai
餷,caa
𤨓,caa
𥻗,caa
㑪,caai
㳗,caai
㼮,caai
㾹,caai
䂘,caai
䐤,caai
䓱,caai
䘍,caai
䞗,caai
䟀,caai
䠕,caai
䡨,caai
䦟,caai/ceoi
偲,caai/si/soi
儕,caai
喍,caai
嘬,caai/ceoi/zyut
囆,caai
搋,caai/ci
撮,caai/cyut
柴,caai/zaai
犲,caai
猜,caai
瘥,caai/co
祡,caai
茈,caai/ci/zi
蠆,caai
袃,caai
訍,caai
豺,caai
跐,caai/ci/coi
跴,caai/cai/coi/jaai
踩,caai/coi/jaai
踹,caai/cyun/dyun/jaai
釵,caai
齜,caai/ci/zi
𡣙,caai
㥽,caak
㨲,caak
㩍,caak
㩞,caak
㿭,caak
䁤,caak
䊂,caak
䜺,caak
䰹,caak
䶦,caak
冊,caak
吒,caak/zaa
圠,caak
坼,caak
惻,caak/cak
憡,caak
戝,caak
拆,caak
拺,caak/cuk/saak
敇,caak
柵,caak/saan/zaap
測,caak/cak
烢,caak/zaak
皟,caak
矠,caak/zaak
笧,caak
策,caak
筞,caak
筴,caak/gaap
箣,caak
簎,caak/cok
茦,caak
萗,caak
蓛,caak
蠈,caak
賊,caak
頙,caak
鰂,caak/zak
鱡,caak
𥑬,caak
𥰡,caak
㔆,caam
㕘,caam/sam
㜗,caam
㠁,caam
㦧,caam
㨻,caam
㰫,caam
㺥,caam
㿊,caam
䂁,caam
䑎,caam
䗝,caam
䗞,caam
䘉,caam
䜛,caam
䟃,caam
䣟,caam
䤘,caam
䤫,caam
䧯,caam
䱿,caam
䳻,caam
傪,caam
儳,caam/zaam
劖,caam
參,caam/cam/saam/sam
叄,caam
叅,caam
噆,caam/cam/zaam/zaap/zam
嚵,caam
嵾,caam/cam
嶄,caam/zaam
巉,caam
忏,caam/saam
慘,caam
慙,caam
慚,caam
憯,caam
懴,caam
懺,caam/cim
摲,caam/saam/saan
摻,caam/cam/saam
攙,caam
旵,caam
朁,caam
杉,caam/saam
梫,caam/cam
檆,caam
欃,caam
毚,caam
漸,caam/zim
瀺,caam/zaam
獑,caam
磛,caam
穇,caam/saam
篸,caam/cam/zaam
縿,caam/saam/siu
艬,caam
蚕,caam
蝅,caam
蠶,caam
蠺,caam
讒,caam
讖,caam/cam
辿,caam/cin
酁,caam
鑱,caam
饞,caam
驂,caam
黲,caam
𠻝,caam
㛑,caan
㣓,caan
㥇,caan
㦃,caan
㬄,caan
㯆,caan
㱚,caan
㹌,caan
㹽,caan
㺗,caan
㻮,caan
䉔,caan
䊲,caan
䏼,caan
䐮,caan
䝳,caan
䬸,caan
䱗,caan
䴼,caan
丳,caan
儏,caan
剗,caan
剷,caan
喰,caan
孱,caan/saan/zaan
嵼,caan
戔,caan/zin
摌,caan
殘,caan
湌,caan
滻,caan
澯,caan
燦,caan
爘,caan
璨,caan
產,caan
産,caan
簅,caan
粲,caan
羼,caan
薒,caan
鏟,caan
飡,caan
餐,caan
驏,caan/can/zaan
𠍇,caan
𤨪,caan
𨮏,caan
䁎,caang
䆑,caang
䆵,caang
䚘,caang
䟓,caang
䟫,caang
倀,caang/coeng/zan
傖,caang/cam/cong
噌,caang/cang/zang
埩,caang/zang
崢,caang/zaang/zang
憆,caang
挰,caang
掁,caang
揨,caang
撐,caang
撑,caang
撜,caang/cing
朾,caang/ting
棖,caang
棦,caang/zaang/zang
槍,caang/coeng
橕,caang
橙,caang/dang
檙,caang
爭,caang/zaang/zang
牚,caang
琤,caang/zaang/zang
瞠,caang/tong
瞪,caang/cing/dang
罉,caang
鋥,caang
錚,caang/zaang/zang
鍠,caang/wong
鎗,caang/coeng
鏳,caang
鏿,caang
鐺,caang/cing/dong/tong
饓,caang
𥋇,caang
𦉘,caang
辶,caang teng
㛼,caap
